time,seconds_elapsed,z,y,x
1747275440922549500,0.071549560546875,0.006108652334660292,0.0024434609804302454,-0.0024434609804302454
1747275440938580500,0.08758056640625,0.006108652334660292,0.0024434609804302454,-0.0024434609804302454
1747275440954599700,0.103599609375,0.006108652334660292,0.0024434609804302454,-0.0024434609804302454
1747275440970613500,0.119613525390625,0.006108652334660292,0.0024434609804302454,-0.0024434609804302454
1747275440986641700,0.1356416015625,0.006108652334660292,0.0024434609804302454,-0.0024434609804302454
1747275441002682000,0.15168212890625,0.006108652334660292,0.0024434609804302454,-0.0024434609804302454
1747275441018718700,0.16771875,0.006108652334660292,0.0024434609804302454,-0.0024434609804302454
1747275441034780400,0.183780517578125,0.00733038317412138,0.0024434609804302454,-0.0024434609804302454
1747275441050783500,0.199783447265625,0.00733038317412138,0.00366519158706069,-0.00427605677396059
1747275441066833700,0.215833740234375,0.006719517521560192,0.00366519158706069,-0.0024434609804302454
1747275441082866200,0.2318662109375,0.006719517521560192,0.00366519158706069,-0.0012217304902151227
1747275441098901800,0.24790185546875,0.006719517521560192,0.003054326167330146,-0.00366519158706069
1747275441114923500,0.263923583984375,0.004886921960860491,0.001832595793530345,-0.00427605677396059
1747275441130927000,0.279927001953125,0.007941247895359993,0.003054326167330146,-0.00427605677396059
1747275441146961700,0.295961669921875,0.006108652334660292,0.0024434609804302454,-0.00366519158706069
1747275441162955300,0.311955322265625,0.006108652334660292,0.0024434609804302454,-0.00366519158706069
1747275441178993000,0.327992919921875,0.005497787147760391,0.001832595793530345,-0.003054326167330146
1747275441195058000,0.344057861328125,0.006719517521560192,0.0024434609804302454,-0.00366519158706069
1747275441211060500,0.360060546875,0.00733038317412138,0.0024434609804302454,-0.00366519158706069
1747275441227089000,0.3760888671875,0.006108652334660292,0.003054326167330146,-0.003054326167330146
1747275441243128300,0.39212841796875,0.006719517521560192,0.001832595793530345,-0.0024434609804302454
1747275441259196000,0.40819580078125,0.006108652334660292,0.001832595793530345,-0.00366519158706069
1747275441275253200,0.424253173828125,0.00733038317412138,0.001832595793530345,-0.00427605677396059
1747275441291257300,0.44025732421875,0.00733038317412138,0.003054326167330146,-0.00366519158706069
1747275441307289000,0.4562890625,0.006719517521560192,0.0024434609804302454,-0.003054326167330146
1747275441323316200,0.472316162109375,0.005497787147760391,0.0024434609804302454,-0.003054326167330146
1747275441339345400,0.488345458984375,0.005497787147760391,0.00366519158706069,-0.00427605677396059
1747275441355370200,0.504370361328125,0.007941247895359993,0.00366519158706069,-0.001832595793530345
1747275441371372800,0.520372802734375,0.006719517521560192,0.00366519158706069,-0.001832595793530345
1747275441387399400,0.5363994140625,0.006719517521560192,0.003054326167330146,-0.0024434609804302454
1747275441403397000,0.552397216796875,0.00733038317412138,0.0012217304902151227,-0.003054326167330146
1747275441419435800,0.568435791015625,0.00733038317412138,0.003054326167330146,-0.00427605677396059
1747275441435501800,0.584501708984375,0.006108652334660292,0.003054326167330146,-0.003054326167330146
1747275441451535600,0.60053564453125,0.005497787147760391,0.0024434609804302454,-0.00366519158706069
1747275441467576000,0.616576171875,0.00733038317412138,0.001832595793530345,-0.0024434609804302454
1747275441483616000,0.632615966796875,0.006719517521560192,0.00366519158706069,-0.00427605677396059
1747275441499652600,0.648652587890625,0.005497787147760391,0.001832595793530345,-0.0024434609804302454
1747275441515719700,0.6647197265625,0.006108652334660292,0.001832595793530345,-0.003054326167330146
1747275441531724300,0.680724365234375,0.007941247895359993,0.0024434609804302454,-0.00366519158706069
1747275441547773200,0.696773193359375,0.00733038317412138,0.00366519158706069,-0.00366519158706069
1747275441563809800,0.712809814453125,0.006719517521560192,0.0012217304902151227,-0.0024434609804302454
1747275441579850500,0.7288505859375,0.006108652334660292,0.0024434609804302454,-0.00427605677396059
1747275441595874600,0.74487451171875,0.00733038317412138,0.0024434609804302454,-0.00366519158706069
1747275441611877400,0.76087744140625,0.006719517521560192,0.001832595793530345,-0.00366519158706069
1747275441627921700,0.776921630859375,0.007941247895359993,0.0024434609804302454,-0.001832595793530345
1747275441643978800,0.792978759765625,0.00733038317412138,0.003054326167330146,-0.00427605677396059
1747275441660015000,0.80901513671875,0.006108652334660292,0.001832595793530345,-0.004886921960860491
1747275441676079000,0.8250791015625,0.006719517521560192,0.001832595793530345,-0.004886921960860491
1747275441692078800,0.841078857421875,0.00733038317412138,0.0012217304902151227,-0.003054326167330146
1747275441708103400,0.857103515625,0.005497787147760391,0.0024434609804302454,-0.003054326167330146
1747275441724140500,0.873140625,0.005497787147760391,0.003054326167330146,-0.0012217304902151227
1747275441740190000,0.88918994140625,0.00733038317412138,0.001832595793530345,-0.003054326167330146
1747275441756257000,0.905257080078125,0.006108652334660292,0.001832595793530345,-0.00366519158706069
1747275441772262100,0.92126220703125,0.006719517521560192,0.001832595793530345,-0.00366519158706069
1747275441788308700,0.937308837890625,0.005497787147760391,0.003054326167330146,-0.003054326167330146
1747275441804345600,0.953345703125,0.006719517521560192,0.0012217304902151227,-0.004886921960860491
1747275441820384300,0.96938427734375,0.006719517521560192,0.003054326167330146,-0.0024434609804302454
1747275441836408800,0.985408935546875,0.005497787147760391,0.003054326167330146,-0.00427605677396059
1747275441852409900,1.001409912109375,0.006719517521560192,0.00366519158706069,-0.005497787147760391
1747275441868436500,1.0174365234375,0.006719517521560192,0.003054326167330146,-0.004886921960860491
1747275441884431600,1.033431640625,0.006719517521560192,0.003054326167330146,-0.00366519158706069
1747275441900472300,1.049472412109375,0.006719517521560192,0.0006108652451075613,-0.004886921960860491
