time,seconds_elapsed,z,y,x
1753234909096237300,0.0542373046875,1.1786317825317383,0.09744119644165039,0.04022258520126343
1753234909112268800,0.070268798828125,0.19564151763916016,0.49163132905960083,-0.009505867958068848
1753234909128296700,0.086296630859375,-0.650634765625,0.5048410892486572,-0.10810838639736176
1753234909144305000,0.102304931640625,-0.8479375839233398,0.2603871822357178,-0.0037954747676849365
1753234909160289300,0.118289306640625,-0.6605005264282227,0.1137840747833252,0.19740647077560425
1753234909176270600,0.1342705078125,-0.2056865692138672,-0.0000921487808227539,0.33059969544410706
1753234909192330800,0.150330810546875,0.16105175018310547,-0.004887700080871582,0.23105299472808838
1753234909208324600,0.16632470703125,0.3863792419433594,0.04297816753387451,0.06940871477127075
1753234909224337000,0.1823369140625,0.23157596588134766,0.03672909736633301,-0.189386248588562
1753234909240369000,0.198368896484375,0.2691822052001953,0.011016249656677246,-0.32046711444854736
1753234909256389000,0.21438916015625,0.4563331604003906,0.04624330997467041,0.02152162790298462
1753234909272446200,0.2304462890625,0.3524942398071289,0.038861989974975586,0.3663053810596466
1753234909288438500,0.2464384765625,0.10021018981933594,0.04249131679534912,0.3702431917190552
1753234909304493800,0.262493896484375,-0.016884803771972656,0.13457047939300537,0.08742612600326538
1753234909320480000,0.27847998046875,0.03154182434082031,-0.040635108947753906,-0.032336294651031494
1753234909336500700,0.294500732421875,-0.08424663543701172,-0.07944989204406738,-0.15465790033340454
1753234909352558800,0.310558837890625,-0.27051258087158203,0.060059189796447754,-0.3148854970932007
1753234909368592100,0.326592041015625,-0.22731685638427734,-0.004517078399658203,-0.29988712072372437
1753234909384603000,0.342602783203125,-0.0027561187744140625,-0.037975430488586426,-0.04554331302642822
1753234909400586000,0.3585859375,0.27561092376708984,0.029645204544067383,0.26658421754837036
1753234909416610000,0.374610107421875,0.45642566680908203,-0.10323476791381836,0.34155845642089844
1753234909432667000,0.3906669921875,0.411102294921875,-0.14561080932617188,0.1392645239830017
1753234909448658700,0.40665869140625,-0.07602310180664062,-0.048705101013183594,-0.05875450372695923
1753234909464668400,0.42266845703125,-0.5010042190551758,0.17192137241363525,0.0018180012702941895
1753234909480702700,0.43870263671875,-0.20953083038330078,0.22769665718078613,0.15005481243133545
1753234909496682500,0.4546826171875,0.3030271530151367,0.004384517669677734,0.03684663772583008
1753234909512740400,0.470740234375,0.47571372985839844,-0.06318354606628418,0.031939178705215454
1753234909528736300,0.486736328125,0.36990833282470703,-0.05249190330505371,-0.051598966121673584
1753234909544793900,0.5027939453125,0.07422065734863281,0.0018825531005859375,0.07092747092247009
1753234909560781300,0.51878125,-0.2214508056640625,0.13753879070281982,0.21036964654922485
1753234909576802800,0.534802734375,-0.12564373016357422,0.11612284183502197,0.1802990436553955
1753234909592860400,0.5508603515625,0.21092700958251953,-0.013203024864196777,0.1608627438545227
1753234909608895500,0.5668955078125,0.4497556686401367,-0.06512141227722168,0.059969812631607056
1753234909624905700,0.58290576171875,0.26407432556152344,-0.0009566545486450195,-0.18613113462924957
1753234909640891600,0.5988916015625,-0.016399383544921875,0.015376091003417969,-0.009566575288772583
1753234909656871000,0.614870849609375,-0.24428939819335938,-0.01896071434020996,0.18526208400726318
1753234909672926500,0.630926513671875,-0.3848400115966797,0.00805354118347168,0.21509462594985962
1753234909688920300,0.64692041015625,-0.1277322769165039,0.053411126136779785,0.12912079691886902
1753234909704930000,0.662929931640625,0.3413209915161133,0.003834962844848633,0.04568570852279663
1753234909720962600,0.678962646484375,0.7584095001220703,0.01528775691986084,-0.021067380905151367
1753234909736981200,0.694981201171875,0.5742282867431641,-0.04473114013671875,-0.09162682294845581
1753234909753040400,0.711040283203125,0.010973930358886719,-0.03297114372253418,0.0448853075504303
1753234909769036000,0.7270361328125,-0.29859161376953125,0.12117016315460205,0.027544885873794556
1753234909785092000,0.743092041015625,-0.17157649993896484,0.09729790687561035,-0.06861099600791931
1753234909801075500,0.759075439453125,0.11736392974853516,0.08054900169372559,0.018299788236618042
1753234909817049600,0.775049560546875,0.05952167510986328,-0.024090170860290527,0.11107844114303589
1753234909833107700,0.791107666015625,-0.19630813598632812,-0.09781444072723389,0.13497084379196167
1753234909849144800,0.807144775390625,-0.4328765869140625,-0.1069105863571167,0.10123738646507263
1753234909865199600,0.82319970703125,-0.4044513702392578,-0.04163503646850586,0.017506062984466553
1753234909881185800,0.839185791015625,0.05617713928222656,0.011049747467041016,0.12048587203025818
1753234909897212200,0.855212158203125,0.6356668472290039,0.10424399375915527,0.1415439248085022
1753234909913270500,0.8712705078125,0.7464666366577148,0.037216782569885254,0.048268795013427734
1753234909929268000,0.88726806640625,0.4469919204711914,0.07743847370147705,0.0016098320484161377
1753234909945280800,0.90328076171875,0.02880573272705078,0.08333790302276611,-0.001584380865097046
1753234909961318400,0.919318359375,0.0077800750732421875,0.10865592956542969,0.005886644124984741
1753234909977298400,0.93529833984375,0.29781341552734375,0.12009334564208984,-0.028948336839675903
1753234909993360600,0.951360595703125,0.42794132232666016,0.019928455352783203,0.22321036458015442
1753234910009358600,0.967358642578125,0.28590869903564453,0.004077553749084473,0.23750445246696472
1753234910025420300,0.983420166015625,-0.1166982650756836,-0.05673694610595703,0.05960395932197571
1753234910041402400,0.99940234375,-0.31897926330566406,0.009495139122009277,-0.05922779440879822
1753234910057419500,1.01541943359375,-0.24921321868896484,0.02302849292755127,-0.06667119264602661
1753234910073476000,1.03147607421875,-0.03872108459472656,-0.09843158721923828,0.07939475774765015
1753234910089510000,1.047510009765625,0.009222984313964844,-0.10841357707977295,0.08152109384536743
